JobID,Title,Company,Location,Skills Required
1,Cloud Engineer,TechNova Inc.,Delhi,"NumPy, Flask, PyTorch, Computer Vision"
2,Backend Engineer,QuantumSoft,Hyderabad,"Django, CI/CD, REST API, Docker, Scikit-learn"
3,Backend Engineer,NextGen Apps,Remote,"Scikit-learn, MySQL, HTML, Tableau, C++"
4,Machine Learning Engineer,CodeNest,Kolkata,"Swift, PostgreSQL, Excel, NLP, Bootstrap"
5,Backend Engineer,AppHive,Bangalore,"Redux, C++, Android Studio, React"
6,Security Analyst,PixelSoft,Noida,"Django, GCP, GraphQL, AWS, Python"
7,Software Engineer,NextGen Apps,Pune,"Kotlin, Linux, Pandas, Python"
8,Product Manager,AILogic Systems,Bangalore,"AWS, Pandas, MySQL, Azure, PostgreSQL"
9,Data Analyst,MindStack,Chennai,"AWS, Bootstrap, MongoDB, Kotlin"
10,Software Engineer,InsightEdge,Chennai,"Java, Node.js, Kotlin, Linux"
11,Frontend Developer,CloudMate,Mumbai,"JavaScript, Linux, CSS, Redux, Kotlin, TensorFlow, Firebase"
12,Data Analyst,BrainAI,Hyderabad,"Bootstrap, MySQL, Power BI, React"
13,Full Stack Developer,AppHive,Hyderabad,"MongoDB, NLP, Swift, GCP"
14,Frontend Developer,AppHive,Hyderabad,"GCP, AWS, Linux, NumPy, TensorFlow, Kotlin, C++"
15,Product Manager,Webify,Kolkata,"Flask, Swift, REST API, NLP, Azure"
16,Frontend Developer,InsightEdge,Noida,"Bootstrap, Excel, Scrum, TensorFlow, Computer Vision, Power BI, GCP"
17,Cloud Engineer,AILogic Systems,Bangalore,"PostgreSQL, Scikit-learn, Agile, JavaScript, Power BI, Android Studio, Scrum"
18,iOS Developer,DevFlow Labs,Noida,"JavaScript, Tableau, Agile, NumPy, PyTorch, Django"
19,Frontend Developer,DevFlow Labs,Mumbai,"MySQL, Docker, Firebase, Django, Redux, Tableau, Excel"
20,Software Engineer,BrainAI,Noida,"Redux, Kotlin, Firebase, Android Studio, PyTorch, Scrum"
21,AI Researcher,CloudMate,Delhi,"PostgreSQL, CI/CD, Scrum, Linux, MongoDB, Django"
22,Android Developer,DevFlow Labs,Chennai,"Pandas, Scikit-learn, PostgreSQL, Firebase, PyTorch, Swift"
23,Full Stack Developer,DevFlow Labs,Kolkata,"AWS, Bootstrap, Swift, GCP, Express"
24,Data Analyst,TechNova Inc.,Remote,"Python, React, MySQL, Tableau, Excel, MongoDB, Express"
25,Web Developer,MindStack,Chennai,"CSS, PyTorch, Flask, React"
26,Full Stack Developer,CyberSage,Kolkata,"Redux, JavaScript, MongoDB, NLP"
27,Cloud Engineer,DevFlow Labs,Noida,"NumPy, REST API, Azure, Pandas, C++"
28,Full Stack Developer,CodeNest,Hyderabad,"Flask, Computer Vision, Agile, Kotlin, Linux"
29,Web Developer,BlueCloud,Mumbai,"Express, CSS, HTML, REST API, React, Python, TensorFlow"
